commit	requests_per_sec	latency_p99	correctness	status	description
baseline	5200.00	0.29	0.00	keep	baseline
d5ee558	1141613.40	0.00	97.60	crash	2 files changed, 10 insertions(+), 7 deletions(-) (constraint: correctness = 97.60 < 100 (fail_below))
63ab6a4	707823.40	0.00	100.00	keep	2 files changed, 43 insertions(+), 37 deletions(-)
2305c85	679642.50	0.00	100.00	discard	2 files changed, 2 insertions(+), 4 deletions(-)
c72bf31	1267124.70	0.00	100.00	keep	2 files changed, 8 insertions(+), 5 deletions(-)
22b9018	1187359.30	0.00	100.00	discard	2 files changed, 7 insertions(+), 7 deletions(-)
130ac97	1368294.80	0.00	97.60	crash	2 files changed, 27 insertions(+), 23 deletions(-) (constraint: correctness = 97.60 < 100 (fail_below))
0050230	1237828.00	0.00	100.00	discard	2 files changed, 11 insertions(+), 11 deletions(-)
d4271ae	1222172.60	0.00	100.00	discard	2 files changed, 30 insertions(+), 17 deletions(-)
e4dbfc2	1241732.20	0.00	97.60	crash	2 files changed, 12 insertions(+), 11 deletions(-) (constraint: correctness = 97.60 < 100 (fail_below))
f48af24	1229435.20	0.00100	100.00	discard	2 files changed, 15 insertions(+), 16 deletions(-)
e3f77bc	1327175.20	0.00100	100.00	keep	2 files changed, 15 insertions(+), 9 deletions(-)
8c1ab9e	1357241.80	0.00100	100.00	keep	2 files changed, 27 insertions(+), 21 deletions(-)
691271a	2736152.70	0.00	84.30	crash	2 files changed, 5 insertions(+), 12 deletions(-) (constraint: correctness = 84.30 < 100 (fail_below))
82a29c8	1852846.80	0.00100	100.00	keep	2 files changed, 12 insertions(+), 30 deletions(-)
392ce3f	1568020.80	0.00100	79.80	crash	2 files changed, 3 insertions(+), 3 deletions(-) (constraint: correctness = 79.80 < 100 (fail_below))
5d3fe24	1463778.80	0.00200	100.00	discard	2 files changed, 11 insertions(+), 9 deletions(-)
5b972db	1818440.80	0.00100	100.00	discard	2 files changed, 13 insertions(+), 9 deletions(-)
f5d515a	1328759.40	0.00100	79.80	crash	2 files changed, 41 insertions(+), 37 deletions(-) (constraint: correctness = 79.80 < 100 (fail_below))
f32b3e0	1804375.50	0.00100	100.00	discard	2 files changed, 10 insertions(+), 14 deletions(-)
